"Runtime","batch_size","dropout","learning_rate","optimizer","batch/accuracy","batch/learning_rate","batch/loss","epoch/accuracy","epoch/learning_rate","epoch/loss","epoch/val_accuracy","epoch/val_loss"
"877","64","0.6","0.0005","rmsprop","0.7429713010787964","0.0005000000237487257","0.770549476146698","0.7431238293647766","0.0005000000237487257","0.7702198624610901","0.8230000138282776","0.5864150524139404"
"872","128","0.5","0.002","rmsprop","0.6479235291481018","0.0020000000949949026","1.000877857208252","0.6481402516365051","0.0020000000949949026","1.0005393028259275","0.7683333158493042","0.726378321647644"
"869","128","0.4","0.001","rmsprop","0.6786071062088013","0.0010000000474974513","0.9279674291610718","0.6787088513374329","0.0010000000474974513","0.9278397560119628","0.7423333525657654","0.7849174737930298"
"800","32","0.5","0.002","rmsprop","0.6113172769546509","0.0020000000949949026","1.092074275016785","0.6113723516464233","0.0020000000949949026","1.0946062803268433","0.5643333196640015","1.1549712419509888"
"805","64","0.5","0.0005","adam","0.8316683173179626","0.0005000000237487257","0.46123069524765015","0.8314806818962097","0.0005000000237487257","0.4616017937660218","0.8389999866485596","0.46253445744514465"
"795","32","0.4","0.0005","adam","0.8382331728935242","0.0005000000237487257","0.448474258184433","0.8382499814033508","0.0005000000237487257","0.4483058154582978","0.8503333330154419","0.45163920521736145"
"799","32","0.4","0.002","adam","0.7575281858444214","0.0020000000949949026","0.6687167882919312","0.7574462294578552","0.0020000000949949026","0.669603705406189","0.8209999799728394","0.5008295774459839"
"806","64","0.4","0.002","adam","0.7446125149726868","0.0020000000949949026","0.7063223719596863","0.7446914911270142","0.0020000000949949026","0.705984354019165","0.7713333368301392","0.633108377456665"
"821","32","0.4","0.0005","rmsprop","0.727486789226532","0.0005000000237487257","0.8034921288490295","0.7277326583862305","0.0005000000237487257","0.8028591275215149","0.7793333530426025","0.653468906879425"
"775","32","0.6","0.001","adam","0.8021264672279358","0.0010000000474974513","0.5431486964225769","0.8021946549415588","0.0010000000474974513","0.5430576205253601","0.8366666436195374","0.4478786587715149"