"Runtime","batch_size","dropout","learning_rate","optimizer","batch/accuracy","batch/batch_step","batch/learning_rate","batch/loss","epoch/accuracy","epoch/learning_rate","epoch/loss","epoch/val_accuracy","epoch/val_loss"
"233","64","0.5","0.0005","adam","0.9611226320266724","4390","0.0005000000237487257","0.10541372001171112","0.9610944986343384","0.0005000000237487257","0.10513338446617126","0.8700000047683716","0.4844713807106018"
"226","64","0.5","0.0005","rmsprop","0.9450533390045166","4390","0.0005000000237487257","0.15816234052181244","0.9444919228553772","0.0005000000237487257","0.1601598560810089","0.8629999756813049","0.513993501663208"
"261","32","0.6","0.0005","rmsprop","0.8937065005302429","8790","0.0005000000237487257","0.32788243889808655","0.8943280577659607","0.0005000000237487257","0.32588112354278564","0.8510000109672546","0.6176074743270874"
"254","32","0.4","0.0005","rmsprop","0.935832381248474","8790","0.0005000000237487257","0.20811711251735687","0.934516191482544","0.0005000000237487257","0.21026262640953064","0.8500000238418579","0.5712107419967651"
"229","64","0.4","0.0005","adam","0.9742298722267152","4390","0.0005000000237487257","0.07230924814939499","0.974205493927002","0.0005000000237487257","0.0719713568687439","0.8493333458900452","0.6438111066818237"
"242","32","0.4","0.0005","adam","0.9712151885032654","8790","0.0005000000237487257","0.08333427459001541","0.9713552594184875","0.0005000000237487257","0.0833013504743576","0.8389999866485596","0.663439929485321"
"224","64","0.5","0.001","rmsprop","0.9213566184043884","4390","0.0010000000474974513","0.2580930292606354","0.921476423740387","0.0010000000474974513","0.25728639960289","0.8339999914169312","0.5803444981575012"
"273","32","0.5","0.002","rmsprop","0.7581206560134888","8790","0.0020000000949949026","0.7322688698768616","0.7579450011253357","0.0020000000949949026","0.7309044003486633","0.7876666784286499","0.6981865167617798"
"262","32","0.6","0.001","rmsprop","0.8169228434562683","8790","0.0010000000474974513","0.5559958815574646","0.816588282585144","0.0010000000474974513","0.5573784112930298","0.7723333239555359","0.8185756802558899"
"248","32","0.4","0.001","rmsprop","0.8555684685707092","8790","0.0010000000474974513","0.47156593203544617","0.8554225564002991","0.0010000000474974513","0.4725091159343719","0.6766666769981384","0.8748605251312256"