"Runtime","batch_size","learning_rate","optimizer","epochs","batch/acc","batch/batch_step","batch/learning_rate","batch/loss","epoch/acc","epoch/learning_rate","epoch/loss","epoch/val_acc","epoch/val_loss"
"499","128","0.0005","adam","20","0.9928836822509766","2190","0.0005000000237487257","0.02114114724099636","0.9932307004928588","0.0005000000237487257","0.020320607349276543","0.9079999923706056","0.4650481343269348"
"613","64","0.0005","rmsprop","20","0.9904472827911376","4390","0.0005000000237487257","0.07764097303152084","0.99016672372818","0.0005000000237487257","0.07808667421340942","0.847000002861023","4.533447742462158"
"491","128","0.001","adam","20","0.9878557920455932","2190","0.0010000000474974513","0.03561870753765106","0.9879578351974488","0.0010000000474974513","0.03524085134267807","0.8629999756813049","0.5715183019638062"
"712","32","0.001","rmsprop","20","0.9647621512413024","8790","0.0010000000474974513","0.20077241957187653","0.9650135636329652","0.0010000000474974513","0.1981198787689209","0.8496666550636292","4.1021037101745605"
"509","128","0.002","adam","20","0.942295789718628","2190","0.0020000000949949026","0.16957874596118927","0.9424967765808104","0.0020000000949949026","0.1687278002500534","0.8576666712760925","0.5411667227745056"
"502","128","0.002","rmsprop","20","0.9668935537338256","2190","0.0020000000949949026","0.16642841696739197","0.9676499962806702","0.0020000000949949026","0.157637357711792","0.871666669845581","0.6170503497123718"
"517","128","0.0005","rmsprop","20","0.989480197429657","2190","0.0005000000237487257","0.06978370994329453","0.9898104667663574","0.0005000000237487257","0.06597642600536346","0.8926666378974915","2.2109103202819824"
"540","128","0.001","rmsprop","20","0.9864634871482848","2190","0.0010000000474974513","0.05161422863602638","0.9863189458847046","0.0010000000474974513","0.05224983021616936","0.8560000061988831","1.807192325592041"
"572","64","0.0005","adam","20","0.9868187308311462","4390","0.0005000000237487257","0.03903589770197868","0.9865326881408693","0.0005000000237487257","0.03945266455411911","0.8870000243186951","0.5494440793991089"
"642","64","0.001","rmsprop","20","0.972970962524414","4390","0.0010000000474974513","0.09596511721611024","0.9727804064750672","0.0010000000474974513","0.0956638678908348","0.7519999742507935","6.987921237945557"