"Runtime","batch_size","learning_rate","optimizer","batch/accuracy","batch/batch_step","batch/learning_rate","batch/loss","epoch/accuracy","epoch/learning_rate","epoch/loss","epoch/val_accuracy","epoch/val_loss"
"131","128","0.0005","rmsprop","0.988811731338501","1790","0.0005000000237487257","0.05247877910733223","0.989133358001709","0.0005000000237487257","0.04992274194955826","0.8949055671691895","0.8959159255027771"
"159","64","0.0005","rmsprop","0.985197365283966","3590","0.0005000000237487257","0.08349849283695221","0.9852142333984376","0.0005000000237487257","0.08274618536233902","0.8820804953575134","1.831584334373474"
"158","64","0.0005","rmsprop","0.985197365283966","3590","0.0005000000237487257","0.06806527078151703","0.9854814410209656","0.0005000000237487257","0.06659445911645889","0.8970431089401245","1.602752447128296"
"128","128","0.002","adam","0.990258514881134","1790","0.0020000000949949026","0.030247211456298828","0.9901131391525269","0.0020000000949949026","0.03182198479771614","0.9006056189537048","0.6304323673248291"
"161","64","0.001","rmsprop","0.9762426614761353","3590","0.0010000000474974513","0.10922562330961227","0.976218044757843","0.0010000000474974513","0.10964813083410264","0.8631991744041443","1.4018343687057495"
"156","64","0.0005","rmsprop","0.9845577478408812","3590","0.0005000000237487257","0.10740764439105988","0.9846798181533812","0.0005000000237487257","0.10593610256910324","0.8870680332183838","1.2563652992248535"
"161","64","0.001","rmsprop","0.9810855388641356","3590","0.0010000000474974513","0.10856235027313232","0.981295108795166","0.0010000000474974513","0.1071816384792328","0.8778054714202881","1.1274256706237793"
"159","64","0.0005","rmsprop","0.9851059913635254","3590","0.0005000000237487257","0.07606629282236099","0.9849470257759094","0.0005000000237487257","0.07782263308763504","0.8927680850028992","1.3968664407730105"
"131","128","0.0005","rmsprop","0.9864004850387572","1790","0.0005000000237487257","0.05721106380224228","0.985837697982788","0.0005000000237487257","0.0597800686955452","0.9009618759155272","0.8526705503463745"
"147","128","0.002","rmsprop","0.9583333134651184","1790","0.0020000000949949026","0.16193807125091553","0.9594727158546448","0.0020000000949949026","0.15564917027950287","0.895261824131012","0.7939531207084656"